running on 6718 samples
training model...
trained model...
sample 1 correct, score = 0.227369
sample 173 incorrect/failed threshold, score = 0.615393
sample 174 correct, score = 0.330085
sample 175 correct, score = 0.566985
sample 176 correct, score = 0.391564
sample 177 incorrect/failed threshold, score = 0.655570
sample 178 correct, score = 0.455475
sample 179 correct, score = 0.483725
sample 180 incorrect/failed threshold, score = 0.588339
sample 181 incorrect/failed threshold, score = 0.622495
sample 182 incorrect/failed threshold, score = 0.689031
sample 183 incorrect/failed threshold, score = 0.593296
sample 184 correct, score = 0.342112
sample 185 correct, score = 0.393480
sample 186 correct, score = 0.350414
sample 187 incorrect/failed threshold, score = 0.786302
sample 188 correct, score = 0.568805
sample 189 correct, score = 0.231799
sample 190 correct/failed threshold, score = 0.598532
sample 191 correct, score = 0.514210
sample 192 tone not detected, 1 false positives, score = 0.530110
sample 193 correct, score = 0.429872
sample 194 tone not detected, 1 false positives, score = 0.184144
sample 195 no tones detected, score = 0.547479
sample 196 correct/failed threshold, score = 0.628050
sample 197 tone not detected, 1 false positives, score = 0.550526
sample 198 incorrect/failed threshold, score = 0.627884
sample 199 correct, score = 0.550222
sample 200 correct, score = 0.516492
sample 201 incorrect/failed threshold, score = 0.608214
sample 202 incorrect/failed threshold, score = 0.631990
sample 203 tone not detected, 1 false positives, score = 0.515652
sample 204 correct, score = 0.407710
sample 205 correct, score = 0.368616
sample 206 correct, score = 0.159256
sample 207 correct, score = 0.437007
sample 208 correct, score = 0.325038
sample 209 incorrect/failed threshold, score = 0.671812
sample 210 correct, score = 0.208240
sample 211 correct, score = 0.497232
sample 212 correct/failed threshold, score = 0.625625
sample 213 incorrect/failed threshold, score = 0.597810
sample 214 correct, score = 0.240400
sample 215 correct, score = 0.573610
sample 216 correct, score = 0.172732
sample 217 correct, score = 0.556691
sample 218 correct, score = 0.487847
sample 219 incorrect/failed threshold, score = 0.684457
sample 220 correct/failed threshold, score = 0.668789
sample 221 correct/failed threshold, score = 0.593890
sample 222 correct, score = 0.556231
sample 223 correct, score = 0.389093
sample 224 correct, score = 0.357953
sample 225 correct, score = 0.178407
sample 226 correct, score = 0.566477
sample 227 correct, score = 0.220117
sample 228 incorrect/failed threshold, score = 0.694562
sample 229 correct/failed threshold, score = 0.647624
sample 230 correct, score = 0.416960
sample 231 correct, score = 0.245904
sample 232 correct, score = 0.233195
sample 233 correct, score = 0.517013
sample 234 correct, score = 0.173280
sample 235 incorrect/failed threshold, score = 0.640613
sample 236 correct, score = 0.385016
sample 237 correct/failed threshold, score = 0.745870
sample 238 correct, score = 0.257194
sample 239 tone not detected, 1 false positives, score = 0.509822
sample 240 incorrect/failed threshold, score = 0.589948
sample 241 no tones detected, score = 0.560810
sample 242 correct, score = 0.392536
sample 243 correct, score = 0.321003
sample 244 correct, score = 0.480895
sample 245 correct, score = 0.388349
sample 246 correct, score = 0.256275
sample 247 incorrect/failed threshold, score = 0.590231
sample 248 correct, score = 0.228094
sample 249 no tones detected, score = 0.544708
sample 250 correct, score = 0.566109
sample 251 correct, score = 0.426241
sample 252 correct, score = 0.476419
sample 253 incorrect/failed threshold, score = 0.614824
sample 254 incorrect/failed threshold, score = 0.599277
sample 255 correct, score = 0.438117
sample 256 correct, score = 0.374347
sample 257 correct, score = 0.383929
sample 258 correct, score = 0.533293
sample 259 correct, score = 0.404552
sample 260 correct, score = 0.469820
sample 261 correct, score = 0.310119
sample 262 correct, score = 0.559816
sample 263 correct, score = 0.554358
sample 264 correct, score = 0.482071
sample 265 correct, score = 0.530464
sample 266 no tones detected, score = 0.552793
sample 267 correct, score = 0.416008
sample 268 correct/failed threshold, score = 0.654193
sample 269 incorrect/failed threshold, score = 0.601820
sample 270 correct, score = 0.235547
sample 271 correct, score = 0.384024
sample 272 correct, score = 0.265753
sample 273 correct, score = 0.429416
sample 274 incorrect/failed threshold, score = 0.601247
sample 275 correct, score = 0.327600
sample 276 no tones detected, score = 0.534711
sample 277 correct/failed threshold, score = 0.610068
sample 278 correct, score = 0.497009
sample 279 correct, score = 0.343453
sample 280 incorrect/failed threshold, score = 0.589116
sample 281 correct, score = 0.193762
sample 282 correct/failed threshold, score = 0.587685
sample 283 correct with 1 false positives, score = 0.342040
sample 284 correct, score = 0.569682
sample 285 correct/failed threshold, score = 0.647853
sample 286 incorrect/failed threshold, score = 0.678890
sample 287 correct, score = 0.548503
sample 288 correct, score = 0.552950
sample 289 correct, score = 0.324353
sample 290 correct, score = 0.477381
sample 291 correct, score = 0.413421
sample 292 no tones detected, score = 0.562701
sample 293 correct, score = 0.328948
sample 294 correct, score = 0.163566
sample 295 correct, score = 0.521728
sample 296 correct/failed threshold, score = 0.593823
sample 297 correct, score = 0.249185
sample 298 correct, score = 0.500423
sample 299 incorrect/failed threshold, score = 0.687138
sample 300 incorrect/failed threshold, score = 0.684511
sample 301 correct, score = 0.234204
sample 302 correct/failed threshold, score = 0.596762
sample 303 correct, score = 0.389901
sample 304 correct, score = 0.436393
sample 305 incorrect/failed threshold, score = 0.647386
sample 306 correct, score = 0.444360
sample 307 no tones detected, score = 0.579327
sample 308 correct, score = 0.278259
sample 309 correct, score = 0.544805
sample 310 no tones detected, score = 0.569187
sample 311 correct, score = 0.449203
sample 312 correct, score = 0.520991
sample 313 correct, score = 0.416610
sample 314 incorrect/failed threshold, score = 0.688502
sample 315 incorrect/failed threshold, score = 0.613243
sample 316 correct, score = 0.388814
sample 317 correct, score = 0.545467
sample 318 correct, score = 0.507180
sample 319 correct/failed threshold, score = 0.634772
sample 320 incorrect/failed threshold, score = 0.615906
sample 321 correct, score = 0.216833
sample 322 correct, score = 0.425470
sample 323 correct, score = 0.303050
sample 324 correct, score = 0.567155
sample 325 incorrect/failed threshold, score = 0.592986
sample 326 incorrect/failed threshold, score = 0.635983
sample 327 correct, score = 0.085383
sample 328 correct, score = 0.404704
sample 329 correct, score = 0.561954
sample 330 correct, score = 0.410085
sample 331 no tones detected, score = 0.568823
sample 332 correct, score = 0.368686
sample 333 incorrect/failed threshold, score = 0.618458
sample 334 correct, score = 0.165121
sample 335 no tones detected, score = 0.579634
sample 336 correct, score = 0.520143
sample 337 incorrect/failed threshold, score = 0.707278
sample 338 correct, score = 0.305036
sample 339 incorrect/failed threshold, score = 0.604492
sample 340 incorrect/failed threshold, score = 0.614585
sample 341 correct, score = 0.140937
sample 342 no tones detected, score = 0.555517
sample 343 correct, score = 0.518934
sample 344 correct, score = 0.518164
sample 345 correct, score = 0.511518
sample 346 tone not detected, 1 false positives, score = 0.568093
sample 347 incorrect/failed threshold, score = 0.623189
sample 348 incorrect/failed threshold, score = 0.707766
sample 349 tone not detected, 1 false positives, score = 0.313366
sample 350 no tones detected, score = 0.574034
sample 351 incorrect/failed threshold, score = 0.591433
sample 352 incorrect/failed threshold, score = 0.627930
sample 353 incorrect/failed threshold, score = 0.675510
sample 354 incorrect/failed threshold, score = 0.596569
sample 355 no tones detected, score = 0.562053
sample 356 correct, score = 0.447445
sample 357 correct, score = 0.353141
sample 358 correct, score = 0.136433
sample 359 correct, score = 0.499702
sample 360 no tones detected, score = 0.568826
sample 361 correct/failed threshold, score = 0.591815
sample 362 incorrect/failed threshold, score = 0.582330
sample 363 correct, score = 0.167409
sample 364 correct/failed threshold, score = 0.619925
sample 365 correct, score = 0.478847
sample 366 correct, score = 0.275933
sample 367 correct, score = 0.396596
sample 368 incorrect/failed threshold, score = 0.623038
sample 369 correct, score = 0.559338
sample 370 correct, score = 0.311153
sample 371 correct, score = 0.453062
sample 372 correct, score = 0.490686
sample 373 incorrect/failed threshold, score = 0.619797
sample 374 incorrect/failed threshold, score = 0.633435
sample 375 correct/failed threshold, score = 0.582637
sample 376 correct, score = 0.296750
sample 377 correct, score = 0.384155
sample 378 correct, score = 0.429977
sample 379 no tones detected, score = 0.578276
sample 380 correct, score = 0.564292
sample 381 correct, score = 0.387948
sample 382 correct/failed threshold, score = 0.616209
sample 383 incorrect/failed threshold, score = 0.590905
sample 384 tone not detected, 1 false positives, score = 0.394866
sample 385 incorrect/failed threshold, score = 0.607873
sample 386 correct/failed threshold, score = 0.650127
sample 387 correct, score = 0.549797
sample 388 correct, score = 0.478762
sample 389 correct, score = 0.412856
sample 390 correct, score = 0.415244
sample 391 correct, score = 0.522839
sample 392 incorrect/failed threshold, score = 0.613470
sample 393 correct, score = 0.394309
sample 394 correct, score = 0.452575
sample 395 correct, score = 0.574371
sample 396 correct/failed threshold, score = 0.622175
sample 397 correct, score = 0.391557
sample 398 correct, score = 0.558177
sample 399 correct, score = 0.467507
sample 400 correct, score = 0.317527
sample 401 correct, score = 0.387694
sample 402 correct, score = 0.540057
sample 403 correct/failed threshold, score = 0.592585
sample 404 incorrect/failed threshold, score = 0.619751
sample 405 correct, score = 0.309756
sample 406 correct, score = 0.493204
sample 407 correct, score = 0.546858
sample 408 incorrect/failed threshold, score = 0.581410
sample 409 correct, score = 0.374824
sample 410 correct, score = 0.538580
sample 411 correct, score = 0.248317
sample 412 correct, score = 0.356658
sample 413 correct, score = 0.413744
sample 414 correct, score = 0.169151
sample 415 correct, score = 0.314090
sample 416 correct, score = 0.088046
sample 417 correct/failed threshold, score = 0.591801
sample 418 incorrect/failed threshold, score = 0.609198
sample 419 correct, score = 0.409006
sample 420 correct, score = 0.369103
sample 421 correct, score = 0.295702
sample 422 incorrect/failed threshold, score = 0.653257
sample 423 correct, score = 0.358120
sample 424 correct, score = 0.498410
sample 425 correct, score = 0.449580
sample 426 correct, score = 0.185779
sample 427 incorrect/failed threshold, score = 0.691350
sample 428 incorrect/failed threshold, score = 0.653941
sample 429 correct, score = 0.507312
sample 430 correct, score = 0.574878
sample 431 incorrect/failed threshold, score = 0.630818
sample 432 correct, score = 0.538612
sample 433 correct, score = 0.455758
sample 434 correct, score = 0.553090
sample 435 correct, score = 0.440434
sample 436 correct, score = 0.571979
sample 437 no tones detected, score = 0.574275
sample 438 correct, score = 0.455642
sample 439 correct, score = 0.197044
sample 440 correct/failed threshold, score = 0.663425
sample 441 correct, score = 0.485525
sample 442 tone not detected, 1 false positives, score = 0.479255
sample 443 correct/failed threshold, score = 0.610314
sample 444 correct, score = 0.298755
sample 445 tone not detected, 1 false positives, score = 0.243918
sample 446 correct, score = 0.393850
sample 447 no tones detected, score = 0.570386
sample 448 correct/failed threshold, score = 0.622532
sample 449 correct/failed threshold, score = 0.660742
sample 450 incorrect/failed threshold, score = 0.646391
sample 451 incorrect/failed threshold, score = 0.636524
sample 452 correct, score = 0.573993
sample 453 correct, score = 0.301652
sample 454 correct, score = 0.340231
sample 455 correct/failed threshold, score = 0.653092
sample 456 correct, score = 0.415664
sample 457 no tones detected, score = 0.559920
sample 458 tone not detected, 1 false positives, score = 0.436463
sample 459 correct with 1 false positives, score = 0.285313
sample 460 correct, score = 0.236999
sample 461 no tones detected, score = 0.565686
sample 462 correct, score = 0.326378
sample 463 correct, score = 0.132920
sample 464 correct, score = 0.326969
sample 465 tone not detected, 1 false positives, score = 0.526539
sample 466 incorrect/failed threshold, score = 0.628511
sample 467 no tones detected, score = 0.561573
sample 468 correct, score = 0.327216
sample 469 correct, score = 0.378961
sample 470 correct, score = 0.306706
sample 471 correct, score = 0.541836
sample 472 correct, score = 0.312465
sample 473 incorrect/failed threshold, score = 0.721581
sample 474 correct, score = 0.344140
sample 475 incorrect/failed threshold, score = 0.620770
sample 476 correct, score = 0.503828
sample 477 correct, score = 0.579273
sample 478 correct, score = 0.510374
sample 479 incorrect/failed threshold, score = 0.623425
sample 480 tone not detected, 1 false positives, score = 0.543165
sample 481 correct, score = 0.160495
sample 482 correct, score = 0.221611
sample 483 correct, score = 0.485859
sample 484 correct, score = 0.406544
sample 485 correct, score = 0.190361
sample 486 tone not detected, 1 false positives, score = 0.260189
sample 487 correct, score = 0.185244
sample 488 correct, score = 0.574146
sample 489 correct, score = 0.544005
sample 490 correct, score = 0.528512
sample 491 incorrect/failed threshold, score = 0.658429
sample 492 incorrect/failed threshold, score = 0.635376
sample 493 no tones detected, score = 0.565502
sample 494 correct, score = 0.333239
sample 495 correct, score = 0.462426
sample 496 correct, score = 0.202129
sample 497 incorrect/failed threshold, score = 0.703668
sample 498 incorrect/failed threshold, score = 0.647880
sample 499 correct/failed threshold, score = 0.605170
sample 500 correct, score = 0.481801
sample 501 correct, score = 0.149792
sample 502 correct, score = 0.217434
sample 503 correct, score = 0.335747
sample 504 correct, score = 0.212696
sample 505 correct, score = 0.409838
sample 506 correct, score = 0.523844
sample 507 correct, score = 0.402254
sample 508 correct/failed threshold, score = 0.619330
sample 509 correct, score = 0.190503
sample 510 correct, score = 0.574047
sample 511 correct, score = 0.514100
sample 512 correct, score = 0.476080
sample 513 correct/failed threshold, score = 0.687828
sample 514 correct, score = 0.436593
sample 515 correct, score = 0.570202
sample 516 correct, score = 0.374470
sample 517 correct, score = 0.450816
sample 518 correct, score = 0.421094
sample 519 correct/failed threshold, score = 0.583585
sample 520 correct, score = 0.359315
sample 521 correct, score = 0.458996
sample 522 correct, score = 0.174432
sample 523 correct, score = 0.493512
sample 524 incorrect/failed threshold, score = 0.646272
sample 525 correct, score = 0.391247
sample 526 incorrect/failed threshold, score = 0.791331
sample 527 tone not detected, 1 false positives, score = 0.395158
sample 528 incorrect/failed threshold, score = 0.678300
sample 529 correct, score = 0.287187
sample 530 correct, score = 0.523604
sample 531 correct/failed threshold, score = 0.676657
sample 532 correct, score = 0.479008
sample 533 correct/failed threshold, score = 0.602419
sample 534 correct, score = 0.400091
sample 535 correct, score = 0.549011
sample 536 correct, score = 0.224075
sample 537 correct, score = 0.509874
sample 538 correct/failed threshold, score = 0.592276
sample 539 correct, score = 0.377792
sample 540 incorrect/failed threshold, score = 0.650751
sample 541 tone not detected, 1 false positives, score = 0.403511
sample 542 incorrect/failed threshold, score = 0.599747
sample 543 correct, score = 0.200408
sample 544 no tones detected, score = 0.574400
sample 545 correct, score = 0.575606
sample 546 correct, score = 0.385809
sample 547 no tones detected, score = 0.573844
sample 548 correct/failed threshold, score = 0.583122
sample 549 correct, score = 0.547558
sample 550 correct, score = 0.567510
sample 551 correct, score = 0.392809
sample 552 correct, score = 0.326798
sample 553 correct, score = 0.503786
sample 554 incorrect/failed threshold, score = 0.580244
sample 555 correct/failed threshold, score = 0.596172
sample 556 correct, score = 0.387729
sample 557 correct, score = 0.261186
sample 558 correct, score = 0.275126
sample 559 correct/failed threshold, score = 0.602390
sample 560 tone not detected, 1 false positives, score = 0.250457
sample 561 correct with 1 false positives, score = 0.340303
sample 562 correct, score = 0.236955
sample 563 correct, score = 0.493244
sample 564 correct, score = 0.338465
sample 565 correct, score = 0.338173
sample 566 correct, score = 0.330509
sample 567 correct, score = 0.451390
sample 568 incorrect/failed threshold, score = 0.677866
sample 569 correct, score = 0.510200
sample 570 correct, score = 0.505971
sample 571 correct, score = 0.437202
sample 572 correct, score = 0.570883
sample 573 correct, score = 0.440159
sample 574 no tones detected, score = 0.532145
sample 575 correct, score = 0.432248
sample 576 correct, score = 0.483047
sample 577 correct, score = 0.284088
sample 578 correct, score = 0.445893
sample 579 correct, score = 0.520179
sample 580 incorrect/failed threshold, score = 0.634377
sample 581 correct, score = 0.568949
sample 582 correct, score = 0.333063
sample 583 correct, score = 0.269060
sample 584 incorrect/failed threshold, score = 0.690201
sample 585 tone not detected, 1 false positives, score = 0.168130
sample 586 tone not detected, 1 false positives, score = 0.557076
sample 587 no tones detected, score = 0.575006
sample 588 correct, score = 0.408579
sample 589 incorrect/failed threshold, score = 0.592846
sample 590 tone not detected, 1 false positives, score = 0.577397
sample 591 correct/failed threshold, score = 0.580269
sample 592 correct, score = 0.210307
sample 593 correct, score = 0.326099
sample 594 incorrect/failed threshold, score = 0.610974
sample 595 correct, score = 0.447979
sample 596 incorrect/failed threshold, score = 0.643840
sample 597 incorrect/failed threshold, score = 0.619820
sample 598 incorrect/failed threshold, score = 0.580953
sample 599 correct, score = 0.131340
sample 600 correct, score = 0.344168
sample 601 correct, score = 0.370228
sample 602 correct, score = 0.419018
sample 603 correct/failed threshold, score = 0.598033
sample 604 correct, score = 0.204821
sample 605 correct, score = 0.258883
sample 606 correct, score = 0.390523
sample 607 correct, score = 0.208596
sample 608 correct, score = 0.266451
sample 609 correct/failed threshold, score = 0.601383
sample 610 correct, score = 0.352966
sample 611 correct/failed threshold, score = 0.697911
sample 612 no tones detected, score = 0.570561
sample 613 correct, score = 0.403005
sample 614 correct, score = 0.391531
sample 615 correct, score = 0.492693
sample 616 correct, score = 0.555910
sample 617 correct, score = 0.337542
sample 618 correct, score = 0.322589
sample 619 incorrect/failed threshold, score = 0.587065
sample 620 incorrect/failed threshold, score = 0.584955
sample 621 correct/failed threshold, score = 0.590541
sample 622 correct/failed threshold, score = 0.588856
sample 623 correct, score = 0.568038
sample 624 correct, score = 0.524405
sample 625 correct, score = 0.538586
sample 626 correct, score = 0.351138
sample 627 correct, score = 0.276666
sample 628 correct, score = 0.398002
sample 629 no tones detected, score = 0.568185
sample 630 correct, score = 0.411613
sample 631 correct, score = 0.562416
sample 632 correct, score = 0.273426
sample 633 incorrect/failed threshold, score = 0.635931
sample 634 correct, score = 0.533438
sample 635 correct, score = 0.456325
sample 636 incorrect/failed threshold, score = 0.616201
sample 637 tone not detected, 1 false positives, score = 0.498795
sample 638 incorrect/failed threshold, score = 0.686795
sample 639 incorrect/failed threshold, score = 0.641669
sample 640 correct, score = 0.454284
sample 641 correct, score = 0.342932
sample 642 correct, score = 0.448686
sample 643 correct/failed threshold, score = 0.588383
sample 644 correct, score = 0.393935
sample 645 no tones detected, score = 0.575340
sample 646 correct, score = 0.298688
sample 647 correct, score = 0.482818
sample 648 correct, score = 0.415742
sample 649 correct, score = 0.265301
sample 650 incorrect/failed threshold, score = 0.614454
sample 651 tone not detected, 1 false positives, score = 0.499321
sample 652 tone not detected, 1 false positives, score = 0.396735
sample 653 incorrect/failed threshold, score = 0.656876
sample 654 correct, score = 0.324807
sample 655 correct, score = 0.479180
sample 656 correct, score = 0.198357
sample 657 correct, score = 0.359052
sample 658 correct, score = 0.388963
sample 659 correct, score = 0.334777
sample 660 correct, score = 0.475465
sample 661 correct, score = 0.243817
sample 662 incorrect/failed threshold, score = 0.590980
sample 663 incorrect/failed threshold, score = 0.655576
sample 664 correct, score = 0.578393
sample 665 correct, score = 0.396512
sample 666 incorrect/failed threshold, score = 0.663438
sample 667 incorrect/failed threshold, score = 0.629728
sample 668 correct, score = 0.484155
sample 669 incorrect/failed threshold, score = 0.661926
sample 670 no tones detected, score = 0.573700
sample 671 no tones detected, score = 0.542166
sample 672 correct, score = 0.549697
sample 673 incorrect/failed threshold, score = 0.692072
sample 674 incorrect/failed threshold, score = 0.623945
sample 675 incorrect/failed threshold, score = 0.638131
sample 676 correct, score = 0.193376
sample 677 correct, score = 0.483816
sample 678 correct, score = 0.241831
sample 679 correct, score = 0.443234
sample 680 no tones detected, score = 0.523662
sample 681 correct, score = 0.351227
sample 682 correct, score = 0.544250
sample 683 incorrect/failed threshold, score = 0.807644
sample 684 tone not detected, 1 false positives, score = 0.370425
sample 685 correct/failed threshold, score = 0.597395
sample 686 correct, score = 0.527239
sample 687 incorrect/failed threshold, score = 0.618717
sample 688 incorrect/failed threshold, score = 0.585737
sample 689 correct, score = 0.221794
sample 690 correct, score = 0.556670
sample 691 correct, score = 0.305875
sample 692 correct, score = 0.269930
sample 693 no tones detected, score = 0.545411
sample 694 incorrect/failed threshold, score = 0.620012
sample 695 tone not detected, 1 false positives, score = 0.534511
sample 696 correct, score = 0.375912
sample 697 correct/failed threshold, score = 0.660879
sample 698 incorrect/failed threshold, score = 0.674910
sample 699 correct, score = 0.567102
sample 700 correct, score = 0.516272
sample 701 incorrect/failed threshold, score = 0.666757
sample 702 correct, score = 0.260052
sample 703 correct, score = 0.272946
sample 704 correct, score = 0.438904
sample 705 correct, score = 0.450153
sample 706 correct, score = 0.373269
sample 707 tone not detected, 1 false positives, score = 0.294957
sample 708 correct, score = 0.401582
sample 709 incorrect/failed threshold, score = 0.710627
sample 710 tone not detected, 1 false positives, score = 0.516160
sample 711 incorrect/failed threshold, score = 0.637743
sample 712 incorrect/failed threshold, score = 0.614898
sample 713 correct, score = 0.385941
sample 714 no tones detected, score = 0.557309
sample 715 correct, score = 0.310509
sample 716 correct, score = 0.382511
sample 717 incorrect/failed threshold, score = 0.583252
sample 718 incorrect/failed threshold, score = 0.589565
sample 719 correct, score = 0.240473
sample 720 correct/failed threshold, score = 0.644941
sample 721 correct, score = 0.290785
sample 722 correct, score = 0.309629
sample 723 correct/failed threshold, score = 0.622956
sample 724 tone not detected, 1 false positives, score = 0.471180
sample 725 tone not detected, 1 false positives, score = 0.547657
sample 726 incorrect/failed threshold, score = 0.606563
sample 727 correct, score = 0.070719
sample 728 correct, score = 0.498800
sample 729 incorrect/failed threshold, score = 0.633285
sample 730 correct/failed threshold, score = 0.589715
sample 731 incorrect/failed threshold, score = 0.600275
sample 732 correct, score = 0.465574
sample 733 incorrect/failed threshold, score = 0.605940
sample 734 incorrect/failed threshold, score = 0.632804
sample 735 correct, score = 0.483718
sample 736 correct, score = 0.402225
sample 737 no tones detected, score = 0.556426
sample 738 correct, score = 0.467983
sample 739 incorrect/failed threshold, score = 0.590839
sample 740 correct, score = 0.441281
sample 741 incorrect/failed threshold, score = 0.596233
sample 742 correct/failed threshold, score = 0.594421
sample 743 correct/failed threshold, score = 0.620821
sample 744 correct, score = 0.461215
